sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),generated_sepal_length
5.7,2.9,4.2,1.3,6.7
7.7,3.8,6.7,2.2,5.9
5.8,2.6,4.0,1.2,6.0
6.3,2.5,4.9,1.5,7.2
5.5,2.3,4.0,1.3,7.1
7.2,3.6,6.1,2.5,7.6
4.8,3.4,1.9,0.2,7.3
4.8,3.4,1.6,0.2,6.8
5.8,2.6,4.0,1.2,7.1
5.8,2.8,5.1,2.4,7.6
4.3,3.0,1.1,0.1,7.6
5.0,3.2,1.2,0.2,7.1
4.6,3.2,1.4,0.2,7.6
5.7,2.6,3.5,1.0,6.2
6.1,2.8,4.0,1.3,6.0
4.9,3.6,1.4,0.1,7.1
4.4,3.2,1.3,0.2,6.7
4.4,3.0,1.3,0.2,6.7
5.6,2.7,4.2,1.3,6.8
5.4,3.7,1.5,0.2,6.2
5.1,3.8,1.5,0.3,6.3
5.4,3.7,1.5,0.2,6.1
5.6,3.0,4.5,1.5,6.1
4.4,3.0,1.3,0.2,7.2
6.2,2.9,4.3,1.3,7.4
5.4,3.9,1.3,0.4,7.4
6.1,2.9,4.7,1.4,7.2
5.1,3.8,1.6,0.2,6.8
5.5,2.6,4.4,1.2,7.6
6.4,2.8,5.6,2.2,5.9
